Date,Open,High,Low,Close,Adj Close,Volume
2011-05-23,1912.500000,1950.000000,1900.000000,1912.500000,1339.363525,50170000
2011-05-24,1900.000000,1912.500000,1875.000000,1900.000000,1330.609497,86167000
2011-05-25,1887.500000,1900.000000,1875.000000,1887.500000,1321.855469,44179000
2011-05-26,1900.000000,1925.000000,1887.500000,1900.000000,1330.609497,25275000
2011-05-27,1925.000000,1925.000000,1887.500000,1925.000000,1348.117432,20573000
2011-05-30,1925.000000,1937.500000,1912.500000,1925.000000,1348.117432,28425000
2011-05-31,1937.500000,1950.000000,1900.000000,1937.500000,1356.871460,48009000
2011-06-01,1912.500000,1950.000000,1900.000000,1912.500000,1339.363525,33042000
2011-06-03,1925.000000,1937.500000,1900.000000,1925.000000,1348.117432,20762000
2011-06-06,1887.500000,1925.000000,1875.000000,1887.500000,1321.855469,36937000
2011-06-07,1912.500000,1912.500000,1875.000000,1912.500000,1339.363525,32851000
2011-06-08,1875.000000,1912.500000,1862.500000,1875.000000,1313.101440,104062000
2011-06-09,1875.000000,1887.500000,1862.500000,1875.000000,1313.101440,85350000
2011-06-10,1875.000000,1900.000000,1850.000000,1875.000000,1313.101440,42151000
2011-06-13,1837.500000,1862.500000,1825.000000,1837.500000,1309.886475,27071000
2011-06-14,1850.000000,1862.500000,1837.500000,1850.000000,1318.797241,25816000
2011-06-15,1850.000000,1875.000000,1837.500000,1850.000000,1318.797241,29859000
2011-06-16,1837.500000,1850.000000,1812.500000,1837.500000,1309.886475,68548000
2011-06-17,1812.500000,1850.000000,1787.500000,1812.500000,1292.064819,75400000
2011-06-20,1800.000000,1812.500000,1775.000000,1800.000000,1283.154175,25416000
2011-06-21,1862.500000,1862.500000,1812.500000,1862.500000,1327.708008,39088000
2011-06-22,1887.500000,1900.000000,1862.500000,1887.500000,1345.529541,40533000
2011-06-23,1887.500000,1887.500000,1862.500000,1887.500000,1345.529541,18753000
2011-06-24,1900.000000,1912.500000,1862.500000,1900.000000,1354.440430,36690000
2011-06-27,1875.000000,1887.500000,1825.000000,1875.000000,1336.618896,15696000
2011-06-28,1887.500000,1900.000000,1875.000000,1887.500000,1345.529541,18583000
2011-06-30,1937.500000,1950.000000,1912.500000,1937.500000,1381.172852,62624000
2011-07-01,1950.000000,1962.500000,1937.500000,1950.000000,1390.083374,55540000
2011-07-04,1950.000000,1950.000000,1950.000000,1950.000000,1390.083374,0
2011-07-05,1937.500000,1950.000000,1900.000000,1937.500000,1381.172852,26147000
2011-07-06,1900.000000,1925.000000,1887.500000,1900.000000,1354.440430,16608000
2011-07-07,1887.500000,1925.000000,1887.500000,1887.500000,1345.529541,25059000
2011-07-08,1937.500000,1950.000000,1912.500000,1937.500000,1381.172852,26554000
2011-07-11,1962.500000,1962.500000,1925.000000,1962.500000,1398.994385,50869000
2011-07-12,1925.000000,1950.000000,1912.500000,1925.000000,1372.261963,24138000
2011-07-13,1950.000000,1950.000000,1912.500000,1950.000000,1390.083374,18199000
2011-07-14,1950.000000,1962.500000,1925.000000,1950.000000,1390.083374,23774000
2011-07-15,1975.000000,1975.000000,1925.000000,1975.000000,1407.905273,48453000
2011-07-18,1987.500000,1987.500000,1962.500000,1987.500000,1416.815918,57198000
2011-07-19,1950.000000,1975.000000,1950.000000,1950.000000,1390.083374,28598000
2011-07-20,1975.000000,1975.000000,1950.000000,1975.000000,1407.905273,39328000
2011-07-21,1975.000000,1987.500000,1950.000000,1975.000000,1407.905273,65411000
2011-07-22,1987.500000,2012.500000,1975.000000,1987.500000,1416.815918,120226000
2011-07-25,2012.500000,2025.000000,1962.500000,2012.500000,1434.637573,61259000
2011-07-26,2087.500000,2125.000000,2025.000000,2087.500000,1488.102417,199877000
2011-07-27,2237.500000,2250.000000,2087.500000,2237.500000,1595.031738,189162000
2011-07-28,2225.000000,2237.500000,2200.000000,2225.000000,1586.120850,53115000
2011-07-29,2225.000000,2250.000000,2200.000000,2225.000000,1586.120850,49876000
2011-08-01,2287.500000,2300.000000,2250.000000,2287.500000,1630.674805,50133000
2011-08-02,2212.500000,2300.000000,2175.000000,2212.500000,1577.209961,49074000
2011-08-03,2187.500000,2225.000000,2137.500000,2187.500000,1559.388550,50892000
2011-08-04,2100.000000,2225.000000,2100.000000,2100.000000,1497.013184,51242000
2011-08-05,2050.000000,2125.000000,1962.500000,2050.000000,1461.369995,139734000
2011-08-08,2050.000000,2050.000000,1962.500000,2050.000000,1461.369995,172633000
2011-08-09,1962.500000,2075.000000,1850.000000,1962.500000,1398.994385,155673000
2011-08-10,2037.500000,2062.500000,2000.000000,2037.500000,1452.458984,121814000
2011-08-11,2037.500000,2050.000000,2000.000000,2037.500000,1452.458984,37164000
2011-08-12,2100.000000,2112.500000,2075.000000,2100.000000,1497.013184,36926000
2011-08-15,2162.500000,2175.000000,2100.000000,2162.500000,1541.566772,76417000
2011-08-16,2175.000000,2187.500000,2137.500000,2175.000000,1550.477783,38290000
